cust_id,lookalikes
C0001,"[('C0020', 0.3640625575621203), ('C0019', 0.3634512664720576), ('C0007', 0.3533390651752724)]"
C0002,"[('C0008', 0.3720259424377136), ('C0009', 0.2626088003232028), ('C0014', 0.20098727732351115)]"
C0003,"[('C0008', 0.4177822403284412), ('C0005', 0.3506957683039641), ('C0017', 0.23023203536419837)]"
C0004,"[('C0018', 0.3063261070704162), ('C0008', 0.28472241489525474), ('C0019', 0.24391930923090052)]"
C0005,"[('C0003', 0.3506957683039641), ('C0009', 0.25246577284415933), ('C0007', 0.2505691512986994)]"
C0006,"[('C0013', 0.3769389984632663), ('C0019', 0.16879000675506928), ('C0011', 0.16774971963429405)]"
C0007,"[('C0020', 0.5727572167082235), ('C0001', 0.3533390651752724), ('C0005', 0.2505691512986994)]"
C0008,"[('C0003', 0.4177822403284412), ('C0002', 0.3720259424377136), ('C0004', 0.28472241489525474)]"
C0009,"[('C0014', 0.48680407801798153), ('C0020', 0.3794195177448021), ('C0010', 0.32890278483815616)]"
C0010,"[('C0009', 0.32890278483815616), ('C0013', 0.28035513957691405), ('C0002', 0.1583472638116737)]"
C0011,"[('C0013', 0.2878384811876957), ('C0019', 0.28489280291250924), ('C0018', 0.1933447682355817)]"
C0012,"[('C0018', 0.269516529664414), ('C0008', 0.24731389996628675), ('C0004', 0.236034868957167)]"
C0013,"[('C0006', 0.3769389984632663), ('C0011', 0.2878384811876957), ('C0010', 0.28035513957691405)]"
C0014,"[('C0009', 0.48680407801798153), ('C0015', 0.40108346498986563), ('C0020', 0.37980746504081603)]"
C0015,"[('C0014', 0.40108346498986563), ('C0020', 0.3133417469097344), ('C0009', 0.26977755518396007)]"
C0016,"[('C0019', 0.2836405896676201), ('C0009', 0.2815577104593733), ('C0013', 0.23564695362992447)]"
C0017,"[('C0019', 0.35307108494752737), ('C0008', 0.27116420201639546), ('C0001', 0.24853963870624235)]"
C0018,"[('C0019', 0.38765582041292834), ('C0004', 0.3063261070704162), ('C0012', 0.269516529664414)]"
C0019,"[('C0018', 0.38765582041292834), ('C0001', 0.3634512664720576), ('C0017', 0.35307108494752737)]"
C0020,"[('C0007', 0.5727572167082235), ('C0014', 0.37980746504081603), ('C0009', 0.3794195177448021)]"
